"TRIP_NUMBER","TE_FILTER"

517783,"BH385581"
524596,"MC008703"
543238,"BH400542"
554492,"MC009245"
560154,"PR410805"
560185,"PR410823"
560344,"PR410872"
563531,"PR412983"
563614,"PR413029"
566997,"PR415070"
569071,"PR416209"
569098,"PR416220"
569100,"PR416222"
569830,"PR416633"
570050,"PR415521"
582031,"MC009772"
583616,"DC425095"
587918,"PR427854"
588057,"PR425886"
589984,"MW001334"
590029,"DC428058"
591228,"MC009932"
592282,"PR430490"
592376,"DC430324"
593413,"PR430463"
594560,"PR430668"
596080,"PR432563"
596081,"PR432564"
596429,"PR430459"
596795,"MW001641"
597153,"PR433162"
597683,"PR432693"
599115,"PR431925"
599493,"PR434507"
599703,"MC010160"
600850,"PR433796"
601531,"MW001887"
602137,"PR435954"
603412,"MW001997"
603999,"PR437177"
604497,"MW002052"
604651,"PR437629"
605344,"MW002080"
605717,"PR436364"
605909,"MW002119"
606388,"PR438539"
606476,"PR436195"
606900,"MW002194"
608234,"MW002288"
608435,"MW002300"
608853,"PR439149"
608871,"PR439998"
609565,"PR440454"
609566,"PR440457"
611076,"MW002417"
611428,"MW002448"
612073,"MW002503"
612451,"PR441884"
612529,"MW002528"
612561,"PR441938"
612789,"MW002545"
613038,"PR442301"
613084,"MW002560"
613351,"MW002568"
613406,"MW002569"
613523,"MW002575"
613874,"PR442578"
614179,"PR442879"
614185,"PR442892"
614885,"MW002643"
615073,"PR443373"
615131,"DC443124"
615207,"MW002592"
615607,"PR443615"
615697,"PR443665"
615764,"MW002709"
615860,"MW002723"
615915,"MW002730"
616903,"PR441072"
617424,"MW002822"
618127,"PR444657"
618490,"MW002874"
621627,"MW003039"
621789,"PR447240"
621904,"MW003058"
622155,"MC010661"
622316,"MW003080"
622318,"PR446912"
623403,"MW003131"
624183,"PR447139"
624982,"PR449063"
625408,"MW003266"
626315,"MC010884"
626349,"MW003304"
626361,"PR449320"
626362,"PR449322"
626854,"MW003347"
628227,"PR449726"
628664,"MC010885"
628752,"MW003473"
629387,"MW003520"
631533,"MW003646"
632175,"MW003678"
632593,"MW003708"
633181,"PR453899"
633568,"PR452235"
633945,"MW003797"
634897,"MW003848"
635122,"MW003860"
635223,"MW003868"
635298,"MW003882"
635309,"MC011021"
635453,"PR455224"
636107,"MW003926"
637529,"PR456539"
637710,"PR456600"
637712,"PR456602"
637906,"MW004038"
638357,"MW004039"
638393,"PR456741"
638630,"PR457124"
639056,"MW004119"
639486,"PR457550"
640047,"MW004197"
640464,"MW004219"
641826,"MC011272"
642339,"PR455981"
642376,"MW004339"
642576,"PR459298"
642682,"MW004340"
643129,"PR459574"
644999,"MW004490"
645422,"MW004493"
645888,"MW004544"
646172,"PR461268"
646959,"MW004589"
647612,"MW004665"
647729,"PR461511"
648636,"MW004726"
648920,"MW004736"
650523,"PR463134"
651294,"MW004837"
651555,"MW004920"
652294,"MW004961"
652993,"MW004989"
653002,"MW004990"
653060,"PR463131"
653431,"MW005009"
653451,"MW005010"
653482,"MW005011"
654908,"PR465050"
655060,"MW005092"
655620,"MW005110"
655759,"MW005115"
655814,"PR465315"
656439,"PR466784"
656919,"PR465084"
657185,"MW005189"
657647,"MW005207"
657714,"PR465368"
657726,"PR465313"
658015,"MW005218"
658218,"MW005228"
658283,"MC011473-AA"
658649,"PR468037"
658677,"PR467285"
659779,"MW005327"
660620,"PR468866"
660996,"MW005434"
661024,"PR469196"
661026,"PR469203"
661501,"MW005470"
661631,"PR469176"
661706,"PR469398"
661922,"MW005494"
662737,"MW005542"
662890,"MC011806"
663280,"PR470406"
663372,"PR470484"
663750,"PR470211"
664107,"FP004109"
664115,"PR468851"
664459,"MW005666"
664675,"MW005678"
665403,"MW005739"
665416,"PR468770"
665489,"MW005744"
666123,"MW005770"
666334,"PR472147"
666424,"PR472171"
666427,"PR472174"
666525,"MW005815"
666641,"MW005825"
666670,"PR472306"
666967,"MW005845"
667210,"MW005870"
667289,"PR472545"
667443,"PR471072"
667836,"MW005902"
667875,"MW005901"
667878,"MW005906"
667908,"MW005908"
668468,"PR473072"
668656,"PR473243"
670869,"MW006090"
